State,District,Market,Commodity,Variety,Grade,Arrival Date,Min Price,Max Price,Modal Price,Modal Price (Rs/kg)
Gujarat,Amreli,Damnagar,Coriander(Leaves),Coriander,FAQ,19/05/2025,"2,200","3,050","2,850",28.50
Gujarat,Amreli,Savarkundla,Bengal Gram(Gram)(Whole),Average (Whole),Non-FAQ,19/05/2025,"5,305","5,525","5,390",53.90
Gujarat,Amreli,Savarkundla,Castor Seed,Castor seed,FAQ,19/05/2025,"5,500","5,970","5,750",57.50
Gujarat,Anand,Khambhat(Grain Market),Paddy(Dhan)(Common),Other,FAQ,19/05/2025,"1,700","2,050","1,900",19.00
Gujarat,Anand,Khambhat(Grain Market),Paddy(Dhan)(Common),Paddy,FAQ,19/05/2025,"2,500","3,150","2,900",29.00
Gujarat,Banaskanth,Vadgam,Mustard,Other,FAQ,19/05/2025,"5,555","5,555","5,555",55.55
Gujarat,Bharuch,Jambusar(Kaavi),Bajra(Pearl Millet/Cumbu),Other,FAQ,19/05/2025,"2,400","2,800","2,600",26.00
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Bottle gourd,Other,FAQ,19/05/2025,500,500,500,5.00
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Cucumbar(Kheera),Other,FAQ,19/05/2025,"1,000","2,000","1,500",15.00
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Tomato,Other,FAQ,19/05/2025,"2,000","2,000","2,000",20.00
Gujarat,Junagarh,Mangrol,Bengal Gram(Gram)(Whole),Desi (F.A.Q. Split),FAQ,19/05/2025,"5,350","5,450","5,425",54.25
Gujarat,Navsari,Bilimora,Tomato,Other,FAQ,19/05/2025,"1,000","2,000","1,500",15.00
Gujarat,Rajkot,Dhoraji,Arhar (Tur/Red Gram)(Whole),Local,Non-FAQ,19/05/2025,"6,055","6,955","6,805",68.05
Gujarat,Rajkot,Rajkot(Veg.Sub Yard),Bhindi(Ladies Finger),Bhindi,FAQ,19/05/2025,700,"1,800","1,250",12.50
