State,District,Crops,Min Price,Max Price,Modal Price,Modal Price (Rs/kg)
Rajasthan,Chittorgarh,Wheat,2150.0,2350.0,2250.0,22.50
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,2060.0,2050.0,20.50
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,2040.0,2040.0,20.40
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2060.0,2060.0,2060.0,20.60
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2000.0,2080.0,2040.0,20.40
Andhra Pradesh,Guntur,Black Gram (Urd Beans)(Whole),8100.0,8300.0,8200.0,82.00
Andhra Pradesh,Kurnool,Jowar(Sorghum),3030.0,3090.0,3060.0,30.60
Andhra Pradesh,Kurnool,Maize,1962.0,1962.0,1962.0,19.62
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,2040.0,2040.0,20.40
Andhra Pradesh,Kurnool,Bengal Gram(Gram)(Whole),5335.0,5335.0,5335.0,53.35
Andhra Pradesh,Kurnool,Maize,1962.0,1962.0,1962.0,19.62
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,2040.0,2040.0,20.40
Chattisgarh,Balodabazar,Paddy(Dhan)(Common),1350.0,1360.0,1355.0,13.55
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1500.0,1500.0,1500.0,15.00
Chattisgarh,Dhamtari,Maize,2000.0,2000.0,2000.0,20.00
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1500.0,1550.0,1500.0,15.00
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1550.0,1550.0,1550.0,15.50
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1800.0,1800.0,1800.0,18.00
Chattisgarh,Kabirdham,Wheat,2200.0,2200.0,2200.0,22.00
Chattisgarh,Kanker,Maize,1500.0,1600.0,1550.0,15.50
Chattisgarh,Kanker,Paddy(Dhan)(Common),1900.0,2100.0,2000.0,20.00
Chattisgarh,Kanker,Maize,1500.0,1600.0,1550.0,15.50
Chattisgarh,Kanker,Paddy(Dhan)(Common),1900.0,2100.0,2000.0,20.00
Chattisgarh,Kanker,Paddy(Dhan)(Common),1900.0,2100.0,2000.0,20.00
Chattisgarh,Kanker,Paddy(Dhan)(Common),1500.0,1500.0,1500.0,15.00
Chattisgarh,Koria,Maize,1965.0,1965.0,1965.0,19.65
Chattisgarh,Koria,Wheat,2130.0,2130.0,2130.0,21.30
Chattisgarh,Mungeli,Paddy(Dhan)(Common),1800.0,1850.0,1820.0,18.20
Chattisgarh,Mungeli,Paddy(Dhan)(Common),1700.0,1875.0,1770.0,17.70
Chattisgarh,Raipur,Paddy(Dhan)(Common),2100.0,2100.0,2100.0,21.00
Chattisgarh,Surajpur,Maize,2000.0,2000.0,2000.0,20.00
Chattisgarh,Surajpur,Maize,1965.0,1965.0,1965.0,19.65
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),4000.0,8255.0,8250.0,82.50
Gujarat,Amreli,Bengal Gram(Gram)(Whole),3255.0,4975.0,4900.0,49.00
Gujarat,Amreli,Cotton,4500.0,7300.0,6895.0,68.95
Gujarat,Amreli,Green Gram (Moong)(Whole),7100.0,7500.0,7500.0,75.00
Gujarat,Amreli,Jowar(Sorghum),4200.0,4635.0,4375.0,43.75
Gujarat,Amreli,Wheat,2490.0,2580.0,2555.0,25.55
Gujarat,Amreli,Wheat,2305.0,2790.0,2480.0,24.80
Gujarat,Amreli,Cotton,7025.0,7325.0,7175.0,71.75
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),8525.0,8525.0,8525.0,85.25
